Chargeback Raise Date,Case Number,Acquirer Reference Data - RRN,Primary Account Number,Transaction Date,Transaction Amount,Chargeback Reason code,Chargeback Reason code description,Chargeback Amount,Target Date,PGI REF NO#
19-Feb-24,NPCI3349300254,3096201000254,652850-XXX-XXX-7686,19-Feb-24,9946,1070,1070-Goods or Services Not Provided / Not Received,5698,19-Feb-24,XUR3108300054
20-Feb-24,NPCI3349300255,3096201000255,652850-XXX-XXX-0944,20-Feb-24,6552,1067,1067-Goods or Services Not Provided / Not Received,5118,20-Feb-24,XUR3108300055
21-Feb-24,NPCI3349300256,3096201000256,652850-XXX-XXX-6231,21-Feb-24,5457,1066,1066-Goods or Services Not Provided / Not Received,5476,21-Feb-24,XUR3108300056
22-Feb-24,NPCI3349300257,3096201000257,652850-XXX-XXX-5759,22-Feb-24,9438,1066,1066-Goods or Services Not Provided / Not Received,5575,22-Feb-24,XUR3108300057
23-Feb-24,NPCI3349300258,3096201000258,652850-XXX-XXX-0801,23-Feb-24,9229,1070,1070-Goods or Services Not Provided / Not Received,5146,23-Feb-24,XUR3108300058
24-Feb-24,NPCI3349300259,3096201000259,652850-XXX-XXX-5178,24-Feb-24,8113,1065,1065-Goods or Services Not Provided / Not Received,5751,24-Feb-24,XUR3108300059
25-Feb-24,NPCI3349300260,3096201000260,652850-XXX-XXX-5679,25-Feb-24,5151,1075,1075-Goods or Services Not Provided / Not Received,5068,25-Feb-24,XUR3108300060
26-Feb-24,NPCI3349300261,3096201000261,652850-XXX-XXX-6927,26-Feb-24,9667,1065,1065-Goods or Services Not Provided / Not Received,5693,26-Feb-24,XUR3108300061
27-Feb-24,NPCI3349300262,3096201000262,652850-XXX-XXX-6977,27-Feb-24,8670,1066,1066-Goods or Services Not Provided / Not Received,5249,27-Feb-24,XUR3108300062
28-Feb-24,NPCI3349300263,3096201000263,652850-XXX-XXX-2411,28-Feb-24,5102,1073,1073-Goods or Services Not Provided / Not Received,5668,28-Feb-24,XUR3108300063
29-Feb-24,NPCI3349300264,3096201000264,652850-XXX-XXX-4388,29-Feb-24,7613,1071,1071-Goods or Services Not Provided / Not Received,5378,29-Feb-24,XUR3108300064
01-Mar-24,NPCI3349300265,3096201000265,652850-XXX-XXX-7010,01-Mar-24,6842,1067,1067-Goods or Services Not Provided / Not Received,4991,01-Mar-24,XUR3108300065
02-Mar-24,NPCI3349300266,3096201000266,652850-XXX-XXX-7613,02-Mar-24,6631,1065,1065-Goods or Services Not Provided / Not Received,5492,02-Mar-24,XUR3108300066
03-Mar-24,NPCI3349300267,3096201000267,652850-XXX-XXX-5813,03-Mar-24,9736,1068,1068-Goods or Services Not Provided / Not Received,5723,03-Mar-24,XUR3108300067
04-Mar-24,NPCI3349300268,3096201000268,652850-XXX-XXX-5998,04-Mar-24,7834,1072,1072-Goods or Services Not Provided / Not Received,5383,04-Mar-24,XUR3108300068
05-Mar-24,NPCI3349300269,3096201000269,652850-XXX-XXX-2921,05-Mar-24,6919,1070,1070-Goods or Services Not Provided / Not Received,5525,05-Mar-24,XUR3108300069
06-Mar-24,NPCI3349300270,3096201000270,652850-XXX-XXX-5567,06-Mar-24,8360,1075,1075-Goods or Services Not Provided / Not Received,5611,06-Mar-24,XUR3108300070
07-Mar-24,NPCI3349300271,3096201000271,652850-XXX-XXX-5958,07-Mar-24,9107,1065,1065-Goods or Services Not Provided / Not Received,5107,07-Mar-24,XUR3108300071
08-Mar-24,NPCI3349300272,3096201000272,652850-XXX-XXX-0598,08-Mar-24,6054,1066,1066-Goods or Services Not Provided / Not Received,5027,08-Mar-24,XUR3108300072
09-Mar-24,NPCI3349300273,3096201000273,652850-XXX-XXX-1269,09-Mar-24,6216,1074,1074-Goods or Services Not Provided / Not Received,5665,09-Mar-24,XUR3108300073
10-Mar-24,NPCI3349300274,3096201000274,652850-XXX-XXX-7166,10-Mar-24,7091,1068,1068-Goods or Services Not Provided / Not Received,5150,10-Mar-24,XUR3108300074
11-Mar-24,NPCI3349300275,3096201000275,652850-XXX-XXX-6065,11-Mar-24,8506,1065,1065-Goods or Services Not Provided / Not Received,5542,11-Mar-24,XUR3108300075
12-Mar-24,NPCI3349300276,3096201000276,652850-XXX-XXX-6532,12-Mar-24,9192,1073,1073-Goods or Services Not Provided / Not Received,5767,12-Mar-24,XUR3108300076
13-Mar-24,NPCI3349300277,3096201000277,652850-XXX-XXX-6758,13-Mar-24,5191,1068,1068-Goods or Services Not Provided / Not Received,5641,13-Mar-24,XUR3108300077
14-Mar-24,NPCI3349300278,3096201000278,652850-XXX-XXX-1220,14-Mar-24,6633,1076,1076-Goods or Services Not Provided / Not Received,5422,14-Mar-24,XUR3108300078
15-Mar-24,NPCI3349300279,3096201000279,652850-XXX-XXX-1685,15-Mar-24,5362,1073,1073-Goods or Services Not Provided / Not Received,5582,15-Mar-24,XUR3108300079
16-Mar-24,NPCI3349300280,3096201000280,652850-XXX-XXX-8000,16-Mar-24,9433,1066,1066-Goods or Services Not Provided / Not Received,5707,16-Mar-24,XUR3108300080
17-Mar-24,NPCI3349300281,3096201000281,652850-XXX-XXX-4669,17-Mar-24,8032,1068,1068-Goods or Services Not Provided / Not Received,5040,17-Mar-24,XUR3108300081
18-Mar-24,NPCI3349300282,3096201000282,652850-XXX-XXX-7449,18-Mar-24,9403,1073,1073-Goods or Services Not Provided / Not Received,5176,18-Mar-24,XUR3108300082
19-Mar-24,NPCI3349300283,3096201000283,652850-XXX-XXX-0819,19-Mar-24,8643,1073,1073-Goods or Services Not Provided / Not Received,5682,19-Mar-24,XUR3108300083
20-Mar-24,NPCI3349300284,3096201000284,652850-XXX-XXX-9171,20-Mar-24,6338,1069,1069-Goods or Services Not Provided / Not Received,5172,20-Mar-24,XUR3108300084
21-Mar-24,NPCI3349300285,3096201000285,652850-XXX-XXX-9643,21-Mar-24,6641,1070,1070-Goods or Services Not Provided / Not Received,5016,21-Mar-24,XUR3108300085
22-Mar-24,NPCI3349300286,3096201000286,652850-XXX-XXX-5365,22-Mar-24,5044,1070,1070-Goods or Services Not Provided / Not Received,5539,22-Mar-24,XUR3108300086
23-Mar-24,NPCI3349300287,3096201000287,652850-XXX-XXX-8475,23-Mar-24,6862,1070,1070-Goods or Services Not Provided / Not Received,5501,23-Mar-24,XUR3108300087
24-Mar-24,NPCI3349300288,3096201000288,652850-XXX-XXX-0342,24-Mar-24,7672,1075,1075-Goods or Services Not Provided / Not Received,5590,24-Mar-24,XUR3108300088
25-Mar-24,NPCI3349300289,3096201000289,652850-XXX-XXX-2830,25-Mar-24,8933,1075,1075-Goods or Services Not Provided / Not Received,5165,25-Mar-24,XUR3108300089
26-Mar-24,NPCI3349300290,3096201000290,652850-XXX-XXX-5409,26-Mar-24,9176,1076,1076-Goods or Services Not Provided / Not Received,5406,26-Mar-24,XUR3108300090
27-Mar-24,NPCI3349300291,3096201000291,652850-XXX-XXX-2383,27-Mar-24,5834,1073,1073-Goods or Services Not Provided / Not Received,5181,27-Mar-24,XUR3108300091
28-Mar-24,NPCI3349300292,3096201000292,652850-XXX-XXX-6929,28-Mar-24,6886,1073,1073-Goods or Services Not Provided / Not Received,5085,28-Mar-24,XUR3108300092
29-Mar-24,NPCI3349300293,3096201000293,652850-XXX-XXX-5497,29-Mar-24,6721,1068,1068-Goods or Services Not Provided / Not Received,5315,29-Mar-24,XUR3108300093
30-Mar-24,NPCI3349300294,3096201000294,652850-XXX-XXX-3045,30-Mar-24,8348,1068,1068-Goods or Services Not Provided / Not Received,5174,30-Mar-24,XUR3108300094
31-Mar-24,NPCI3349300295,3096201000295,652850-XXX-XXX-8670,31-Mar-24,6567,1065,1065-Goods or Services Not Provided / Not Received,4965,31-Mar-24,XUR3108300095
01-Apr-24,NPCI3349300296,3096201000296,652850-XXX-XXX-9469,01-Apr-24,8947,1070,1070-Goods or Services Not Provided / Not Received,5020,01-Apr-24,XUR3108300096
02-Apr-24,NPCI3349300297,3096201000297,652850-XXX-XXX-2700,02-Apr-24,7945,1072,1072-Goods or Services Not Provided / Not Received,5179,02-Apr-24,XUR3108300097
03-Apr-24,NPCI3349300298,3096201000298,652850-XXX-XXX-3354,03-Apr-24,8625,1067,1067-Goods or Services Not Provided / Not Received,5347,03-Apr-24,XUR3108300098
04-Apr-24,NPCI3349300299,3096201000299,652850-XXX-XXX-4968,04-Apr-24,7928,1067,1067-Goods or Services Not Provided / Not Received,5539,04-Apr-24,XUR3108300099
05-Apr-24,NPCI33493002100,30962010002100,652850-XXX-XXX-1953,05-Apr-24,9114,1076,1076-Goods or Services Not Provided / Not Received,5192,05-Apr-24,XUR31083000100
06-Apr-24,NPCI33493002101,30962010002101,652850-XXX-XXX-7767,06-Apr-24,7837,1065,1065-Goods or Services Not Provided / Not Received,5541,06-Apr-24,XUR31083000101
07-Apr-24,NPCI33493002102,30962010002102,652850-XXX-XXX-1224,07-Apr-24,7185,1075,1075-Goods or Services Not Provided / Not Received,5215,07-Apr-24,XUR31083000102
08-Apr-24,NPCI33493002103,30962010002103,652850-XXX-XXX-9696,08-Apr-24,5507,1068,1068-Goods or Services Not Provided / Not Received,5117,08-Apr-24,XUR31083000103
09-Apr-24,NPCI33493002104,30962010002104,652850-XXX-XXX-0135,09-Apr-24,8468,1067,1067-Goods or Services Not Provided / Not Received,5616,09-Apr-24,XUR31083000104
10-Apr-24,NPCI33493002105,30962010002105,652850-XXX-XXX-8827,10-Apr-24,6402,1067,1067-Goods or Services Not Provided / Not Received,5478,10-Apr-24,XUR31083000105
11-Apr-24,NPCI33493002106,30962010002106,652850-XXX-XXX-5560,11-Apr-24,5626,1071,1071-Goods or Services Not Provided / Not Received,5169,11-Apr-24,XUR31083000106
12-Apr-24,NPCI33493002107,30962010002107,652850-XXX-XXX-0692,12-Apr-24,6960,1065,1065-Goods or Services Not Provided / Not Received,5467,12-Apr-24,XUR31083000107
13-Apr-24,NPCI33493002108,30962010002108,652850-XXX-XXX-1783,13-Apr-24,7933,1075,1075-Goods or Services Not Provided / Not Received,5000,13-Apr-24,XUR31083000108
14-Apr-24,NPCI33493002109,30962010002109,652850-XXX-XXX-6840,14-Apr-24,8168,1067,1067-Goods or Services Not Provided / Not Received,5143,14-Apr-24,XUR31083000109
15-Apr-24,NPCI33493002110,30962010002110,652850-XXX-XXX-5507,15-Apr-24,6565,1071,1071-Goods or Services Not Provided / Not Received,5594,15-Apr-24,XUR31083000110
16-Apr-24,NPCI33493002111,30962010002111,652850-XXX-XXX-3541,16-Apr-24,9175,1069,1069-Goods or Services Not Provided / Not Received,5194,16-Apr-24,XUR31083000111
17-Apr-24,NPCI33493002112,30962010002112,652850-XXX-XXX-1402,17-Apr-24,6279,1073,1073-Goods or Services Not Provided / Not Received,5148,17-Apr-24,XUR31083000112
18-Apr-24,NPCI33493002113,30962010002113,652850-XXX-XXX-6574,18-Apr-24,8115,1073,1073-Goods or Services Not Provided / Not Received,5055,18-Apr-24,XUR31083000113
19-Apr-24,NPCI33493002114,30962010002114,652850-XXX-XXX-9616,19-Apr-24,8580,1074,1074-Goods or Services Not Provided / Not Received,5410,19-Apr-24,XUR31083000114
20-Apr-24,NPCI33493002115,30962010002115,652850-XXX-XXX-6341,20-Apr-24,5076,1069,1069-Goods or Services Not Provided / Not Received,5461,20-Apr-24,XUR31083000115
21-Apr-24,NPCI33493002116,30962010002116,652850-XXX-XXX-4984,21-Apr-24,8338,1073,1073-Goods or Services Not Provided / Not Received,5024,21-Apr-24,XUR31083000116
22-Apr-24,NPCI33493002117,30962010002117,652850-XXX-XXX-1807,22-Apr-24,9040,1065,1065-Goods or Services Not Provided / Not Received,5464,22-Apr-24,XUR31083000117
23-Apr-24,NPCI33493002118,30962010002118,652850-XXX-XXX-2505,23-Apr-24,5742,1066,1066-Goods or Services Not Provided / Not Received,5591,23-Apr-24,XUR31083000118
24-Apr-24,NPCI33493002119,30962010002119,652850-XXX-XXX-5203,24-Apr-24,5258,1070,1070-Goods or Services Not Provided / Not Received,5099,24-Apr-24,XUR31083000119
25-Apr-24,NPCI33493002120,30962010002120,652850-XXX-XXX-1018,25-Apr-24,6798,1073,1073-Goods or Services Not Provided / Not Received,5766,25-Apr-24,XUR31083000120
26-Apr-24,NPCI33493002121,30962010002121,652850-XXX-XXX-9642,26-Apr-24,8525,1072,1072-Goods or Services Not Provided / Not Received,5033,26-Apr-24,XUR31083000121
27-Apr-24,NPCI33493002122,30962010002122,652850-XXX-XXX-5269,27-Apr-24,6377,1068,1068-Goods or Services Not Provided / Not Received,5039,27-Apr-24,XUR31083000122
28-Apr-24,NPCI33493002123,30962010002123,652850-XXX-XXX-1536,28-Apr-24,9773,1065,1065-Goods or Services Not Provided / Not Received,5082,28-Apr-24,XUR31083000123
29-Apr-24,NPCI33493002124,30962010002124,652850-XXX-XXX-4199,29-Apr-24,9669,1071,1071-Goods or Services Not Provided / Not Received,5101,29-Apr-24,XUR31083000124
30-Apr-24,NPCI33493002125,30962010002125,652850-XXX-XXX-5553,30-Apr-24,7116,1067,1067-Goods or Services Not Provided / Not Received,5160,30-Apr-24,XUR31083000125
01-May-24,NPCI33493002126,30962010002126,652850-XXX-XXX-3326,01-May-24,5493,1075,1075-Goods or Services Not Provided / Not Received,5550,01-May-24,XUR31083000126
02-May-24,NPCI33493002127,30962010002127,652850-XXX-XXX-2620,02-May-24,8845,1069,1069-Goods or Services Not Provided / Not Received,5104,02-May-24,XUR31083000127
03-May-24,NPCI33493002128,30962010002128,652850-XXX-XXX-7193,03-May-24,7448,1066,1066-Goods or Services Not Provided / Not Received,5112,03-May-24,XUR31083000128
04-May-24,NPCI33493002129,30962010002129,652850-XXX-XXX-0067,04-May-24,8074,1066,1066-Goods or Services Not Provided / Not Received,5565,04-May-24,XUR31083000129
05-May-24,NPCI33493002130,30962010002130,652850-XXX-XXX-7067,05-May-24,9945,1068,1068-Goods or Services Not Provided / Not Received,5373,05-May-24,XUR31083000130
06-May-24,NPCI33493002131,30962010002131,652850-XXX-XXX-2249,06-May-24,7680,1071,1071-Goods or Services Not Provided / Not Received,5517,06-May-24,XUR31083000131
07-May-24,NPCI33493002132,30962010002132,652850-XXX-XXX-4936,07-May-24,7346,1065,1065-Goods or Services Not Provided / Not Received,5080,07-May-24,XUR31083000132
08-May-24,NPCI33493002133,30962010002133,652850-XXX-XXX-6066,08-May-24,9301,1069,1069-Goods or Services Not Provided / Not Received,5776,08-May-24,XUR31083000133
09-May-24,NPCI33493002134,30962010002134,652850-XXX-XXX-7174,09-May-24,9078,1072,1072-Goods or Services Not Provided / Not Received,5014,09-May-24,XUR31083000134
10-May-24,NPCI33493002135,30962010002135,652850-XXX-XXX-7221,10-May-24,5131,1076,1076-Goods or Services Not Provided / Not Received,5726,10-May-24,XUR31083000135
11-May-24,NPCI33493002136,30962010002136,652850-XXX-XXX-4317,11-May-24,7831,1076,1076-Goods or Services Not Provided / Not Received,5172,11-May-24,XUR31083000136
12-May-24,NPCI33493002137,30962010002137,652850-XXX-XXX-4285,12-May-24,5666,1069,1069-Goods or Services Not Provided / Not Received,5526,12-May-24,XUR31083000137
13-May-24,NPCI33493002138,30962010002138,652850-XXX-XXX-7207,13-May-24,9231,1071,1071-Goods or Services Not Provided / Not Received,5714,13-May-24,XUR31083000138
14-May-24,NPCI33493002139,30962010002139,652850-XXX-XXX-0307,14-May-24,8094,1065,1065-Goods or Services Not Provided / Not Received,5666,14-May-24,XUR31083000139
15-May-24,NPCI33493002140,30962010002140,652850-XXX-XXX-3536,15-May-24,9660,1070,1070-Goods or Services Not Provided / Not Received,5591,15-May-24,XUR31083000140
16-May-24,NPCI33493002141,30962010002141,652850-XXX-XXX-7301,16-May-24,6778,1067,1067-Goods or Services Not Provided / Not Received,5360,16-May-24,XUR31083000141
17-May-24,NPCI33493002142,30962010002142,652850-XXX-XXX-9846,17-May-24,6369,1065,1065-Goods or Services Not Provided / Not Received,5397,17-May-24,XUR31083000142
18-May-24,NPCI33493002143,30962010002143,652850-XXX-XXX-7970,18-May-24,6561,1069,1069-Goods or Services Not Provided / Not Received,5388,18-May-24,XUR31083000143
19-May-24,NPCI33493002144,30962010002144,652850-XXX-XXX-0521,19-May-24,9120,1069,1069-Goods or Services Not Provided / Not Received,5063,19-May-24,XUR31083000144
20-May-24,NPCI33493002145,30962010002145,652850-XXX-XXX-7211,20-May-24,8633,1074,1074-Goods or Services Not Provided / Not Received,5760,20-May-24,XUR31083000145
21-May-24,NPCI33493002146,30962010002146,652850-XXX-XXX-7708,21-May-24,6423,1072,1072-Goods or Services Not Provided / Not Received,5671,21-May-24,XUR31083000146
22-May-24,NPCI33493002147,30962010002147,652850-XXX-XXX-3667,22-May-24,7250,1069,1069-Goods or Services Not Provided / Not Received,5042,22-May-24,XUR31083000147
23-May-24,NPCI33493002148,30962010002148,652850-XXX-XXX-0866,23-May-24,6694,1074,1074-Goods or Services Not Provided / Not Received,5095,23-May-24,XUR31083000148
24-May-24,NPCI33493002149,30962010002149,652850-XXX-XXX-4512,24-May-24,9390,1065,1065-Goods or Services Not Provided / Not Received,5614,24-May-24,XUR31083000149
25-May-24,NPCI33493002150,30962010002150,652850-XXX-XXX-4097,25-May-24,5136,1067,1067-Goods or Services Not Provided / Not Received,5153,25-May-24,XUR31083000150
26-May-24,NPCI33493002151,30962010002151,652850-XXX-XXX-6839,26-May-24,8150,1070,1070-Goods or Services Not Provided / Not Received,5295,26-May-24,XUR31083000151
27-May-24,NPCI33493002152,30962010002152,652850-XXX-XXX-2018,27-May-24,9480,1074,1074-Goods or Services Not Provided / Not Received,4977,27-May-24,XUR31083000152
28-May-24,NPCI33493002153,30962010002153,652850-XXX-XXX-1442,28-May-24,8970,1070,1070-Goods or Services Not Provided / Not Received,5416,28-May-24,XUR31083000153
29-May-24,NPCI33493002154,30962010002154,652850-XXX-XXX-8206,29-May-24,9963,1076,1076-Goods or Services Not Provided / Not Received,5540,29-May-24,XUR31083000154
